,epi_7,epi_14,epi_21,epi_28,meta,amas_4h,amas_6h,amas_12h,amas_24h,amas_48h,amas_72h,trypo
Epi_7dias_R1,1,0,0,0,0,0,0,0,0,0,0,0
Epi_7dias_R2,1,0,0,0,0,0,0,0,0,0,0,0
Epi_7dias_R3,1,0,0,0,0,0,0,0,0,0,0,0
Epi_14dias_R1,0,1,0,0,0,0,0,0,0,0,0,0
Epi_14dias_R2,0,1,0,0,0,0,0,0,0,0,0,0
Epi_14dias_R3,0,1,0,0,0,0,0,0,0,0,0,0
Epi_21dias_R1,0,0,1,0,0,0,0,0,0,0,0,0
Epi_21dias_R2,0,0,1,0,0,0,0,0,0,0,0,0
Epi_21dias_R3,0,0,1,0,0,0,0,0,0,0,0,0
Epi_28dias_R1,0,0,0,1,0,0,0,0,0,0,0,0
Epi_28dias_R2,0,0,0,1,0,0,0,0,0,0,0,0
Epi_28dias_R3,0,0,0,1,0,0,0,0,0,0,0,0
Meta_1_R1,0,0,0,0,1,0,0,0,0,0,0,0
Meta_1_R2,0,0,0,0,1,0,0,0,0,0,0,0
Meta_1_R3,0,0,0,0,1,0,0,0,0,0,0,0
Meta_1_R4,0,0,0,0,1,0,0,0,0,0,0,0
Amas_4h_R1,0,0,0,0,0,1,0,0,0,0,0,0
Amas_4h_R2,0,0,0,0,0,1,0,0,0,0,0,0
Amas_4h_R3,0,0,0,0,0,1,0,0,0,0,0,0
Amas_6h_R1,0,0,0,0,0,0,1,0,0,0,0,0
Amas_6h_R2,0,0,0,0,0,0,1,0,0,0,0,0
Amas_6h_R3,0,0,0,0,0,0,1,0,0,0,0,0
Amas_12h_R1,0,0,0,0,0,0,0,1,0,0,0,0
Amas_12h_R2,0,0,0,0,0,0,0,1,0,0,0,0
Amas_24h_R1,0,0,0,0,0,0,0,0,1,0,0,0
Amas_24h_R2,0,0,0,0,0,0,0,0,1,0,0,0
Amas_24h_R3,0,0,0,0,0,0,0,0,1,0,0,0
Amas_48h_R1,0,0,0,0,0,0,0,0,0,1,0,0
Amas_48h_R2,0,0,0,0,0,0,0,0,0,1,0,0
Amas_48h_R3,0,0,0,0,0,0,0,0,0,1,0,0
Amas_48h_R4,0,0,0,0,0,0,0,0,0,1,0,0
Amas_72h_R1,0,0,0,0,0,0,0,0,0,0,1,0
Amas_72h_R2,0,0,0,0,0,0,0,0,0,0,1,0
Amas_72h_R3,0,0,0,0,0,0,0,0,0,0,1,0
Trypo_R1,0,0,0,0,0,0,0,0,0,0,0,1
Trypo_R2,0,0,0,0,0,0,0,0,0,0,0,1
Trypo_R3,0,0,0,0,0,0,0,0,0,0,0,1
Trypo_R4,0,0,0,0,0,0,0,0,0,0,0,1
